dataset,method,budget_ratio,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb,estimated_attention_flops_g
wikitext,baseline,1.0,0,2048,256,43.280527299839854,0.9891512989997864,15.620213337973054,51.485169142070774,0.0,48.0,28.991029248
wikitext,baseline,1.0,1,2048,256,43.280527299839854,1.1111948005855083,15.548975290913209,50.431589010066546,0.0,48.0,28.991029248
wikitext,streamingllm,0.2,0,2048,256,54.4140722146924,1.1242721006274223,9.06057882250524,74.53301064791448,0.0,3.09375,26.414048870400002
wikitext,streamingllm,0.2,1,2048,256,54.4140722146924,1.7557001002132893,11.379099213609509,54.9666395477983,0.0,3.09375,26.414048870400002
wikitext,streamingllm,0.3,0,2048,256,54.4140722146924,1.6847190000116825,11.369370983219614,55.84753586907937,0.0,3.09375,26.736171417599998
wikitext,streamingllm,0.3,1,2048,256,54.4140722146924,1.7201403006911278,11.26473608116309,55.741262975661755,0.0,3.09375,26.736171417599998
wikitext,streamingllm,0.5,0,2048,256,54.4140722146924,1.7642965000122786,11.227425092867778,55.32395972689702,0.0,3.09375,27.380416512
wikitext,streamingllm,0.5,1,2048,256,54.4140722146924,1.751426499336958,11.527478037511601,54.573360615160055,0.0,3.09375,27.380416512
